"","x"
"1",0.688049169634385
"2",0.170501396386857
"3",0.499168901351349
"4",0.599621850510636
"5",0.0810520620449555
"6",0.351609044357938
"7",0.356112486104005
"8",0.644190063454077
"9",0.379412156186734
"10",1.05010598890891
"11",0.404652867818406
"12",0.802912577928465
"13",0.703284561154466
"14",0.152204292409271
"15",0.928252022727821
"16",0.724816630406198
"17",0.210881539416309
"18",0.416915235319466
"19",0.949970655552366
"20",0.37694175782054
"22",0.512930652817864
"23",1.00185218971254
"24",0.0334157196173276
"25",0.0846521603074211
"26",0.324871422525303
"27",0.37607509309135
"28",0.744812365004322
"29",0.516403899561456
"30",0.212380598193045
"31",0.267371250687084
"32",0.949850314234181
"33",0.377610419674414
"34",0.272316498626922
"35",0.452543342113981
"37",0.128247652281411
"38",0.576202589089944
"39",0.904487962897974
"40",0.872431610848458
"41",0.386618157480368
"43",0.0420228237324053
"44",0.365781385211722
"45",0.351045349303475
"46",0.767250515187292
"47",0.939529718947321
"48",0.727200800866311
"49",-0.0040878496142131
"50",0.00504174894363729
"51",-0.0603376077864492
"52",0.878232723371663
"53",0.806992561656139
"54",0.470592846510195
"55",0.518699185298182
"56",-0.0500018141961556
"57",0.922696966117208
"58",0.824117086553223
"59",0.758188751797806
"60",0.0501482217694845
"61",0.529179090801131
"63",0.133610740049104
"65",0.389201484514711
"66",0.698246637223236
"67",0.0422054754603128
"68",0.0499808601118772
"69",0.725930268914229
"70",0.466287127076507
"71",0.949865796203353
"72",0.0499958143191176
"73",0.901847036521392
"74",0.362372881518766
"76",0.24696785209831
"77",0.548560965807137
"78",0.715028260442392
"79",0.950145363201893
"80",0.531909117696678
"81",0.154835900172185
"82",0.0500000271697648
"83",0.754635673880377
"84",0.236496162967772
"85",0.364564967458828
"86",0.124642211579319
"87",0.206552972489397
"88",0.246791119191949
"89",0.237908113522399
"90",0.836798704820996
"91",0.614224408691491
"92",0.66366698343403
"93",0.207474150194654
"94",0.404812303910932
"95",0.460403083155973
"96",0.201266467301957
"97",0.138149874713213
"98",0.949943956268094
"99",0.748906804196085
"100",0.174866395539265
"101",0.232055577415135
"102",0.851692522225506
"103",0.331509448987758
"104",0.788973343505471
"105",0.619414295251165
"106",0.574310524989425
"107",0.634514283906377
"108",0.116119782060588
"109",0.308192288338693
"110",0.872035532043926
"111",0.419802050139774
"113",0.64470716033111
"114",0.401653391793532
"115",0.67024706428771
"116",0.579651878860366
"117",0.91395340803267
"118",0.609749705545743
"119",0.459569270120402
"120",0.21870371139692
"121",0.624290996437763
"122",0.690397920645242
"124",0.485286658361662
"125",0.486940373936689
"126",0.560132974095057
"127",-0.0500582608465882
"128",0.934523089641355
"129",0.7849109084177
"130",0.0500031575707966
"131",0.407402491505478
"132",0.833762974299228
"133",0.685414222287968
"134",0.297151060677543
"135",0.168265207332056
"136",0.252611329389173
"137",0.321700266394722
"138",0.490645898411179
"139",0.505274590260699
"142",0.0500837693445504
"143",0.633404468180632
"144",0.239538326902969
"145",-0.0501382590699358
"146",0.0498831148123796
"147",0.950063240796117
"148",0.950168236173472
"150",0.550555052390639
"151",0.334968015061996
"152",0.881135113927626
"153",0.0498542380704106
"154",0.000433024268402138
"155",0.0498167178133795
"156",0.27200499494909
"157",0.676641276970117
"158",0.379585532531607
"159",0.130501746863753
"160",0.0629143162227377
"161",0.0811178117187022
"162",0.949985330950674
"163",0.822818421296589
"164",0.339039754130233
"165",0.648371048739229
"166",0.770463803858302
"167",0.319266952354143
"168",0.526338327405314
"169",0.06611328874573
"170",0.540504832817239
"171",0.429404863522854
"172",0.311194273535074
"173",0.766076171998429
"174",0.3229449202122
"175",0.240116688045781
"176",0.0958693421120075
"177",0.343545942249873
"178",0.961784217062402
"180",0.877144919893172
"182",0.191477463567455
"183",0.00956081144358911
"184",0.325871392138086
"185",0.636740979149351
"186",0.648384398963343
"187",0.712189556810622
"188",0.712582384921273
"189",0.234570870106918
"190",0.0449712226021646
"191",0.495286983792786
"192",0.326653624231736
"193",0.502045005951691
"194",0.950028758095382
"195",0.382231933473746
"196",0.624038276670809
"197",0.372458322030043
"198",0.038619706362789
"199",0.0498213772030654
"200",0.0692759618274251
"201",0.400693254630386
"202",0.507219503562054
"203",0.0845441960879394
"205",0.534873845895844
"206",0.457652017280852
"207",0.704586905727044
"208",0.183218603755877
"209",0.375278443628245
"210",0.0497977763742732
"211",0.305062784937413
"212",-0.110736422639093
"213",0.402549573540068
"214",0.0498671082548683
"215",0.0501300616718191
"216",0.208826503738522
"217",0.537529939584349
"218",0.0500249614022766
"219",0.734412485870978
"220",0.0499048797711069
"221",0.0498688478945989
"222",0.142779369941457
"223",0.0502084289141789
"224",0.480606080239187
"225",0.796028795637761
"226",0.299938653579245
"227",0.406415271763608
"228",0.950017183260868
"229",0.206811271257289
"230",0.90337670933135
"231",0.286534242234073
"232",0.516288356743954
"233",0.808907974133452
"234",0.939281700366964
"235",0.344536269805107
"236",0.0499229729524684
"237",-0.00131309153016645
"238",0.662300450880603
"239",0.45349196067776
"241",0.949885783183771
"242",0.156400203421952
"243",0.681182515775644
"244",0.465366972795515
"245",0.432163441311533
"246",0.460708147074679
"247",0.153885335386105
"248",0.770577279289192
"249",0.132113717222979
"250",0.806066991209129
"251",0.949912675982124
"252",0.806115485010241
"253",0.441650532028951
"254",0.462378781737943
"255",0.74543595057164
"256",0.949984071032196
"257",0.569060522883093
"258",0.51413589418169
"259",0.0421776615887436
"260",1.04991819599671
"261",0.612291912131928
"262",0.0449663845905043
"263",0.95916807462105
"264",0.347172122659762
"265",0.966959870927175
"266",0.16504110352484
"267",0.209349584688885
"268",0.309232564693634
"269",0.302806465800066
